"site","grts_cell","quadrant","region","lat","long","elevation","water","clutter","dist_road","dist_gravel","dist_paved","dist_harvest","n_years","n_observations","years_sampled","region_idx","elevation_std","clutter_std","dist_road_std","dist_harvest_std"
"128058_SW",128058,"SW","South Coastal Region",48.798281,-123.476317,NA,1,0,0.03849128587,0.03849128587,0.2622456961,2.644988923,5,20,"2018,2019,2020,2021,2022",4,NA,-1.42195566969168,-0.357181848247621,-0.0853850010523431
"132650_SE",132650,"SE","Okanagan Region",51.818279,-122.4214442,NA,0,0,0.001540658265,0.001540658265,9.747987232,3.962055807,5,17,"2020,2021,2022,2023,2024",3,NA,-1.42195566969168,-0.473643025857828,0.0613445258134053
"132650_SW",132650,"SW","Okanagan Region",51.80225,-122.46284,NA,0,0,0.2829378448,0.2829378448,7.409633769,4.298402042,5,15,"2020,2021,2022,2023,2024",3,NA,-1.42195566969168,0.413266069987431,0.0988156098746349
"137274_NE",137274,"NE","South Coastal Region",48.79,-123.6988,NA,1,25,0.2721503928,0.3607832673,0.2721503928,1.666689469,5,19,"2018,2019,2020,2022,2023",4,NA,-0.299763627664732,0.37926612344353,-0.194373707519918
"137274_NW",137274,"NW","South Coastal Region",48.7891,-123.719,NA,1,75,0.02971448606,0.6015380611,0.02971448606,1.249527992,6,23,"2018,2019,2020,2021,2022,2023",4,NA,1.94462045638916,-0.384844610906172,-0.240848117354694
"137274_SE",137274,"SE","South Coastal Region",48.7539,-123.6447,NA,1,25,0.1507193816,0.2263503392,0.1507193816,1.552003235,6,21,"2018,2019,2020,2021,2022,2023",4,NA,-0.299763627664732,-0.00346076049271755,-0.207150474635744
"143274_NE",143274,"NE","South Coastal Region",50.3377,-122.8012,NA,0,50,0.039030495,0.039030495,0.4416638556,0.9661518287,6,24,"2019,2020,2021,2022,2023,2024",4,NA,0.822428414362214,-0.35548236614601,-0.27241800258312
"143274_NW",143274,"NW","South Coastal Region",50.3446,-122.8479,NA,1,25,0.179419662,0.179419662,1.041109949,0.08312037024,6,23,"2019,2020,2021,2022,2023,2024",4,NA,-0.299763627664732,0.0869969304796242,-0.370793255716739
"143274_SE",143274,"SE","South Coastal Region",50.3004,-122.758,NA,1,25,0.2236128108,0.2236128108,0.2350868185,0.3700218478,6,23,"2019,2020,2021,2022,2023,2024",4,NA,-0.299763627664732,0.226285123540104,-0.338830628327906
"143274_SW",143274,"SW","South Coastal Region",50.2961,-122.8048,NA,0,25,0.07657301331,0.07657301331,0.6647699703,0.4239778677,6,21,"2019,2020,2021,2022,2023,2024",4,NA,-0.299763627664732,-0.237155664375896,-0.332819588670268
"145578_NE",145578,"NE","Kootenay Region",49.931778,-115.655583,NA,0,50,0.02006523619,0.02006523619,0.2921688155,0,6,23,"2018,2019,2020,2021,2022,2024",1,NA,0.822428414362214,-0.415257166138747,-0.380053387260842
"145578_NW",145578,"NW","Kootenay Region",49.935444,-115.674972,NA,0,75,0.004830469903,0.004830469903,0.2951337834,0.4393805754,5,16,"2019,2021,2022,2023,2024",1,NA,1.94462045638916,-0.463274180663291,-0.331103630247254
"145578_SE",145578,"SE","Kootenay Region",49.899833,-115.642222,NA,1,25,0.2503972128,0.2503972128,1.667645247,0.1173066,7,24,"2018,2019,2020,2021,2022,2023,2024",1,NA,-0.299763627664732,0.310704339144527,-0.366984694907151
"145578_SW",145578,"SW","Kootenay Region",49.895889,-115.695,NA,1,0,0.1320498469,0.1320498469,2.601176608,0.1649779423,6,23,"2019,2020,2021,2022,2023,2024",1,NA,-1.42195566969168,-0.0623034957187472,-0.361673807824871
"16426_NE",16426,"NE","Northern Region",54.82137,-123.355785,NA,0,0,0.01202715834,0.01202715834,7.480674952,1.726082815,6,18,"2018,2019,2020,2021,2022,2024",2,NA,-1.42195566969168,-0.440591621134766,-0.187756915568483
"16426_SE",16426,"SE","Northern Region",54.818945,-123.339974,NA,1,25,0.03753565792,0.03753565792,6.922605248,2.281264463,6,14,"2018,2019,2020,2021,2022,2024",2,NA,-0.299763627664732,-0.360193801321976,-0.125906191413773
"172090_NE",172090,"NE","South Coastal Region",49.37012,-122.94857,NA,0,25,0.01001270836,0.01001270836,0.2896726124,6.24877454,6,16,"2018,2019,2020,2021,2022,2023",4,NA,-0.299763627664732,-0.446940774914116,0.316099361611201
"172090_NW",172090,"NW","South Coastal Region",49.3468347,-123.009846,NA,1,0,0.1598769048,0.1598769048,0.1662219987,2.749180976,5,17,"2018,2019,2021,2022,2023",4,NA,-1.42195566969168,0.0254019680992181,-0.0737773516416843
"172090_SE",172090,"SE","South Coastal Region",49.32364,-122.97036,NA,0,50,0,0.05835160666,0,6.60012463,6,18,"2018,2019,2020,2021,2022,2023",4,NA,0.822428414362214,-0.4784988804797,0.355241969398413
"172090_SW",172090,"SW","South Coastal Region",49.31421,-123.01406,NA,1,75,0.04918120684,0.133166045,0.04918120684,5.82659783,6,20,"2018,2019,2020,2021,2022,2023",4,NA,1.94462045638916,-0.323489300504323,0.269066223306253
"175354_SE",175354,"SE","Northern Region",59.42418,-125.94917,NA,0,25,0.001126410447,0.001126410447,4.804575686,74.85105621,3,11,"2018,2019,2020",2,NA,-0.299763627664732,-0.474948654255334,7.95882461241927
"175354_SW",175354,"SW","Northern Region",59.40931,-126.09868,NA,0,50,0.02931769747,0.02931769747,0.09897442306,78.52853379,4,13,"2018,2019,2020,2024",2,NA,0.822428414362214,-0.386095211219317,8.36851872281557
"17706_NW",17706,"NW","Northern Region",51.97600921,-120.1036777,NA,1,25,0.478035762,0.478035762,1.634791432,5.859951196,3,7,"2019,2020,2024",2,NA,-0.299763627664732,1.02817668610201,0.272781997859552
"17706_SE",17706,"SE","Northern Region",51.940804,-120.016832,NA,1,25,0.6079035123,0.6079035123,2.200121027,0.3277912016,4,15,"2019,2020,2023,2024",2,NA,-0.299763627664732,1.43749452760681,-0.343535387677213
"17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,NA,0,0,0.0264606054,0.0264606054,0.03462219578,1.549550726,3,12,"2019,2020,2023",2,NA,-1.42195566969168,-0.395100208659955,-0.207423699549054
"186490_NW",186490,"NW","Northern Region",54.754,-127.12678,NA,0,25,4.6724036e-05,4.6724036e-05,0.8942347793,2.900938621,8,31,"2016,2017,2018,2019,2020,2021,2022,2024",2,NA,-0.299763627664732,-0.478351615423381,-0.0568705963966634
"186490_SE",186490,"SE","Northern Region",54.722574,-126.997418,NA,0,50,0.01698497489,0.01698497489,1.719407195,0.7170475043,7,28,"2016,2017,2018,2019,2020,2021,2022",2,NA,0.822428414362214,-0.424965549503164,-0.300169789605823
"186490_SW",186490,"SW","Northern Region",54.722779,-127.053965,NA,1,50,0.000613771215,0.000613771215,0.2146347789,1.916020024,9,36,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2,NA,0.822428414362214,-0.476564393216148,-0.166596716986821
"194666_NE",194666,"NE","Okanagan Region",50.230138,-119.32344,NA,0,25,0.004665078115,0.004665078115,0.09135065289,1.169445997,8,27,"2016,2017,2018,2019,2020,2021,2023,2024",3,NA,-0.299763627664732,-0.463795463349026,-0.249769754804972
"194666_SW",194666,"SW","Okanagan Region",50.169151,-119.410806,NA,0,50,0.05223873791,0.05223873791,0.1915110373,1.554526863,8,21,"2016,2017,2018,2019,2020,2021,2022,2023",3,NA,0.822428414362214,-0.313852558395407,-0.206869326618948
"20330_NE",20330,"NE","Kootenay Region",49.424541,-117.7286549,NA,0,50,0.08621435239,0.08621435239,2.916752584,0.9565048781,8,28,"2016,2017,2018,2019,2020,2022,2023,2024",1,NA,0.822428414362214,-0.206768042411819,-0.273492733498027
"20330_SE",20330,"SE","Kootenay Region",49.381304,-117.6779339,NA,0,0,0.1318795132,0.1318795132,0.1817990707,0.6071974552,8,31,"2016,2017,2018,2019,2020,2022,2023,2024",1,NA,-1.42195566969168,-0.0628403543480718,-0.312407775334893
"206394_NE",206394,"NE","Northern Region",53.636548,-132.050561,NA,-Inf,31.6780821917808,0.5189687749,0.5635828673,0.5189687749,3.002104115,3,11,"2022,2023,2024",2,NA,0,1.15718956611119,-0.0456001246764438
"206394_NW",206394,"NW","Northern Region",53.637196,-132.162509,NA,-Inf,31.6780821917808,0.02688651872,0.02688651872,3.661404046,0,3,12,"2022,2023,2024",2,NA,0,-0.393757812873412,-0.380053387260842
"206394_SE",206394,"SE","Northern Region",53.608769,-131.99988,NA,-Inf,31.6780821917808,0.0471415867,0.4213377809,0.0471415867,1.965326903,3,12,"2022,2023,2024",2,NA,0,-0.329917785723063,-0.16110362083902
"206394_SW",206394,"SW","Northern Region",53.573235,-132.115794,NA,-Inf,31.6780821917808,0.1039524567,0.1039524567,7.414747535,0.1496907156,3,12,"2022,2023,2024",2,NA,0,-0.150860994266424,-0.363376900938843
"20730_NE",20730,"NE","Northern Region",56.7952475,-124.9005858,NA,-Inf,31.6780821917808,0.03519104728,0.03519104728,12.01773492,1.96327538,2,7,"2022,2024",2,NA,0,-0.367583557162953,-0.161332173392274
"20730_NW",20730,"NW","Northern Region",56.79948362,-124.9761373,NA,-Inf,31.6780821917808,0.1408644294,0.1408644294,10.26200091,0.04340301436,2,7,"2022,2024",2,NA,0,-0.0345216493840608,-0.375218018731759
"20730_SE",20730,"SE","Northern Region",56.7845655,-124.8854358,NA,-Inf,31.6780821917808,0.01480558094,0.01480558094,10.64798432,0.9620677124,2,6,"2022,2024",2,NA,0,-0.43183457453318,-0.272872998802099
"212266_NE",212266,"NE","Okanagan Region",50.7512766,-120.4800092,NA,1,0,0.01727702937,0.01727702937,3.25664548,6.620524247,9,35,"2016,2017,2018,2019,2020,2021,2022,2023,2024",3,NA,-1.42195566969168,-0.424045050695113,0.357514614916279
"212266_NW",212266,"NW","Okanagan Region",50.7775476,-120.5598176,NA,1,50,0.03206587522,0.03206587522,6.437564606,1.395310294,7,23,"2017,2018,2019,2020,2021,2023,2024",3,NA,0.822428414362214,-0.377433490491091,-0.224607052866841
"212266_SE",212266,"SE","Okanagan Region",50.7148071,-120.4925243,NA,1,0,0.3304393767,0.3304393767,0.8772397738,8.957108883,8,24,"2016,2017,2018,2019,2020,2022,2023,2024",3,NA,-1.42195566969168,0.562981641871636,0.617824825648187
"212266_SW",212266,"SW","Okanagan Region",50.7323352,-120.5218426,NA,1,25,0.3440526404,0.3440526404,0.8136833298,6.906167127,8,28,"2016,2018,2019,2020,2021,2022,2023,2024",3,NA,-0.299763627664732,0.605887996225568,0.38933702662834
"212906_NW",212906,"NW","South Coastal Region",49.36971,-124.79984,NA,0,25,0.0089450165,0.0089450165,0.09202855265,0.009855866476,6,22,"2018,2019,2020,2022,2023,2024",4,NA,-0.299763627664732,-0.4503059315948,-0.378955381804594
"212906_SE",212906,"SE","South Coastal Region",49.35175,-124.74136,NA,1,25,0.000182007324,0.01824880125,0.000182007324,1.00241616,6,23,"2018,2019,2020,2022,2023,2024",4,NA,-0.299763627664732,-0.477925228862377,-0.268377928203912
"212906_SW",212906,"SW","South Coastal Region",49.33595,-124.7423,NA,0,50,0,0,0.952459333,0.9267326499,5,17,"2018,2019,2020,2023,2024",4,NA,0.822428414362214,-0.4784988804797,-0.276809546797787
"216746_NW",216746,"NW","South Coastal Region",49.106754,-125.78544,NA,1,75,0.01432371363,0.1851745606,0.01432371363,2.978330433,3,10,"2021,2022,2024",4,NA,1.94462045638916,-0.433353326392401,-0.0482486622367556
"216746_SE",216746,"SE","South Coastal Region",49.077676,-125.746438,NA,1,0,0.9020542675,0.9020542675,0.9101934596,1.286644066,6,21,"2017,2019,2021,2022,2023,2024",4,NA,-1.42195566969168,2.3646003865852,-0.236713153486652
"218282_SE",218282,"SE","Kootenay Region",50.138325,-117.556721,NA,1,25,0.1912523891,0.1912523891,0.2388004053,0,4,16,"2020,2021,2022,2024",1,NA,-0.299763627664732,0.124291380445063,-0.380053387260842
"218282_SW",218282,"SW","Kootenay Region",50.150936,-117.622098,NA,1,25,0.1419228903,0.1419228903,0.4886029949,0.8535157427,5,20,"2020,2021,2022,2023,2024",1,NA,-0.299763627664732,-0.0311855868904517,-0.284966370329332
"226090_NE",226090,"NE","Okanagan Region",50.10929,-120.45236,NA,1,0,0.9714916486,0.9714916486,2.716746259,6.44627669,5,14,"2019,2020,2021,2022,2023",3,NA,-1.42195566969168,2.5834534804899,0.338102342155709
"226090_NW",226090,"NW","Okanagan Region",50.0999,-120.50647,NA,1,25,0.1042316954,0.202744425,0.1042316954,2.763690906,6,21,"2018,2019,2020,2021,2022,2023",3,NA,-0.299763627664732,-0.14998088829951,-0.0721608542643535
"226090_SE",226090,"SE","Okanagan Region",50.07156,-120.42266,NA,0,0,0.2881725344,0.2881725344,5.204433671,7.009261239,5,14,"2018,2019,2020,2021,2022",3,NA,-1.42195566969168,0.429764791518143,0.400822358512522
"230186_NE",230186,"NE","Okanagan Region",49.014567,-121.071983,NA,0,0,0.0143325976,0.8536833942,4.973340946,2.113284618,5,20,"2018,2019,2020,2021,2024",3,NA,-1.42195566969168,-0.433325325850188,-0.144620201673431
"230186_SE",230186,"SE","Okanagan Region",48.975109,-121.083294,NA,1,25,0.151817406493965,0.151817406493965,0.30363481298793,3.41141787345413,6,24,"2018,2019,2020,2021,2023,2024",3,NA,-0.299763627664732,0,0
"241002_NE",241002,"NE","Kootenay Region",51.038169,-118.135697,NA,1,50,0.1213738793,0.9178098032,0.1213738793,2.976574903,8,27,"2017,2018,2019,2020,2021,2022,2023,2024",1,NA,0.822428414362214,-0.0959520651589096,-0.0484442393098927
"241002_NW",241002,"NW","Kootenay Region",51.015969,-118.202923,NA,0,50,0.004482636919,0.004482636919,0.08871488633,1.282092544,8,32,"2017,2018,2019,2020,2021,2022,2023,2024",1,NA,0.822428414362214,-0.464370482446345,-0.237220221637626
"243562_NE",243562,"NE","Kootenay Region",49.699661,-115.984981,NA,0,50,0.01434466369,0.02361025263,0.1888300878,0,7,24,"2016,2017,2019,2020,2021,2023,2024",1,NA,0.822428414362214,-0.433287295885837,-0.380053387260842
"243562_SE",243562,"SE","Kootenay Region",49.650677,-115.946919,NA,1,25,0.1656400712,0.1656400712,0.7592980904,2.553538607,7,23,"2016,2017,2019,2021,2022,2023,2024",1,NA,-0.299763627664732,0.0435663455187984,-0.0955731408965784
"26170_NE",26170,"NE","Northern Region",53.620517,-132.208832,NA,-Inf,31.6780821917808,0.02674099227,0.02674099227,0.7359122811,0.5677774757,3,11,"2022,2023,2024",2,NA,0,-0.394216483884946,-0.316799408752572
"26170_NW",26170,"NW","Northern Region",53.604517,-132.288374,NA,-Inf,31.6780821917808,0.2886794578,0.2886794578,4.615531994,0.1937344669,3,8,"2022,2023,2024",2,NA,0,0.431362515290341,-0.358470150288478
"26170_SE",26170,"SE","Northern Region",53.58901,-132.176947,NA,-Inf,31.6780821917808,0.05792309992,0.05792309992,3.308973548,0.7590362778,3,12,"2022,2023,2024",2,NA,0,-0.295936557056427,-0.29549197639514
"26170_SW",26170,"SW","Northern Region",53.568946,-132.230418,NA,-Inf,31.6780821917808,0,0,1.450224193,0.009186533698,3,12,"2022,2023,2024",2,NA,0,-0.4784988804797,-0.379029949681916
"265749_NE",265749,"NE","Okanagan Region",49.15892,-119.03758,NA,1,25,0.03952574177,0.03952574177,3.96186985,0,6,22,"2018,2019,2020,2021,2022,2023",3,NA,-0.299763627664732,-0.353921444836136,-0.380053387260842
"265749_NW",265749,"NW","Okanagan Region",49.16674,-119.10324,NA,1,75,0.8618626271,0.8618626271,2.602171948,0.9960676757,7,26,"2018,2019,2020,2021,2022,2023,2024",3,NA,1.94462045638916,2.23792416822412,-0.269085189246589
"265749_SE",265749,"SE","Okanagan Region",49.11153,-118.97698,NA,0,25,0.02360855138,0.04940279731,0.02360855138,0.3974501742,7,26,"2018,2019,2020,2021,2022,2023,2024",3,NA,-0.299763627664732,-0.404089327148762,-0.335774940416926
"265749_SW",265749,"SW","Okanagan Region",49.11337,-119.05299,NA,1,50,0.04516003745,0.04516003745,4.05367712,0,7,25,"2018,2019,2020,2021,2022,2023,2024",3,NA,0.822428414362214,-0.336163242812847,-0.380053387260842
"268521_NE",268521,"NE","Kootenay Region",49.49916,-115.03962,NA,0,25,0.02066486944,0.02066486944,0.2817064072,0.1786042,7,21,"2018,2019,2020,2021,2022,2023,2024",1,NA,-0.299763627664732,-0.413367238985797,-0.360155757094449
"268521_NW",268521,"NW","Kootenay Region",49.48855,-115.09812,NA,0,75,0.02974038888,0.4170367387,0.02974038888,3.443398332,6,19,"2018,2019,2021,2022,2023,2024",1,NA,1.94462045638916,-0.384762970265237,0.00356282403603849
"268521_SE",268521,"SE","Kootenay Region",49.440833,-115.056338,NA,1,25,0.1353535558,0.5326878975,0.1353535558,0.4342493186,6,19,"2018,2019,2021,2022,2023,2024",1,NA,-0.299763627664732,-0.0518908490625572,-0.331675284497799
"269777_NW",269777,"NW","Northern Region",57.04083,-122.86281,NA,0,0,0.2107357816,0.2107357816,3.674375828,4.588363437,4,10,"2017,2018,2019,2020",2,NA,-1.42195566969168,0.185699236859519,0.131119131293736
"269777_SW",269777,"SW","Northern Region",57.01497,-122.80521,NA,1,0,0.009870683865,0.009870683865,7.002816432,1.666505056,4,16,"2017,2018,2019,2020",2,NA,-1.42195566969168,-0.44738840844592,-0.194394252286905
"271731_SW",271731,"SW","Kootenay Region",51.241464,-117.649615,NA,0,50,0.04888413074,1.903690542,0.04888413074,7.96178528,6,24,"2019,2020,2021,2022,2023,2024",1,NA,0.822428414362214,-0.324425626480047,0.506939522008207
"283586_NE",283586,"NE","Northern Region",54.3558,-128.5366,NA,0,25,0.03124162297,0.03124162297,0.3082614946,0,6,17,"2018,2019,2020,2022,2023,2024",2,NA,-0.299763627664732,-0.380031372960343,-0.380053387260842
"283586_NW",283586,"NW","Northern Region",54.3321,-128.6266,NA,1,25,0.0252074934,0.0252074934,2.87013463,0,7,24,"2018,2019,2020,2021,2022,2023,2024",2,NA,-0.299763627664732,-0.399049773488936,-0.380053387260842
"283586_SE",283586,"SE","Northern Region",54.31162,-128.54374,NA,1,50,0.1312254289,0.1938516832,0.1312254289,0.3578198515,7,24,"2018,2019,2020,2021,2022,2023,2024",2,NA,0.822428414362214,-0.0649019005996987,-0.340190007388808
"283586_SW",283586,"SW","Northern Region",54.2946,-128.581,NA,0,25,0.009383807434,0.009383807434,2.889934246,0,7,24,"2018,2019,2020,2021,2022,2023,2024",2,NA,-0.299763627664732,-0.448922948078401,-0.380053387260842
"294832_NE",294832,"NE","Northern Region",56.3348,-120.97877,NA,1,25,0.1553029348,0.1553029348,1.398007394,3.058266685,7,24,"2017,2018,2019,2020,2021,2022,2024",2,NA,-0.299763627664732,0.0109857059927071,-0.0393432614724758
"294832_NW",294832,"NW","Northern Region",56.33264,-121.00747,NA,1,75,0.06356088615,0.2647666664,0.06356088615,2.474423844,7,28,"2017,2018,2019,2020,2021,2022,2024",2,NA,1.94462045638916,-0.278167353499744,-0.104387022624308
"294832_SE",294832,"SE","Northern Region",56.30206,-120.94608,NA,0,25,0.03167733218,0.03167733218,0.6559969454,1.132182917,7,24,"2017,2018,2019,2020,2021,2022,2024",2,NA,-0.299763627664732,-0.378658102437453,-0.253921096065148
"294832_SW",294832,"SW","Northern Region",56.30496,-121.00198,NA,0,50,0.03671570557,0.03671570557,0.06424038172,2.495896582,7,25,"2017,2018,2019,2020,2021,2022,2024",2,NA,0.822428414362214,-0.362778131344352,-0.101994824683925
"317428_NE",317428,"NE","South Coastal Region",49.06292,-120.799436,NA,1,25,0.07525785087,0.1841606295,0.07525785087,0.3726624093,7,28,"2018,2019,2020,2021,2022,2023,2024",4,NA,-0.299763627664732,-0.241300800099934,-0.338536453184441
"317428_NW",317428,"NW","South Coastal Region",49.06417,-120.90943,NA,0,25,0,0,0.4208535519,8.277974879,7,27,"2018,2019,2020,2021,2022,2023,2024",4,NA,-0.299763627664732,-0.4784988804797,0.542165030161778
"317428_SE",317428,"SE","South Coastal Region",49.06053,-120.77309,NA,0,50,0.0487102006,0.0487102006,0.0575727182,0.1459006712,7,27,"2018,2019,2020,2021,2022,2023,2024",4,NA,0.822428414362214,-0.32497382038741,-0.363799135700318
"317428_SW",317428,"SW","South Coastal Region",49.04617,-120.85085,NA,1,50,1.569441336,1.569441336,1.697760227,4.567040757,6,24,"2018,2019,2020,2021,2022,2023",4,NA,0.822428414362214,4.46807437220208,0.128743650757464
"326072_NE",326072,"NE","South Coastal Region",49.09743,-122.51957,NA,0,0,0.08214961954,0.08214961954,0.317410025,7.815346407,8,29,"2016,2017,2018,2019,2020,2021,2022,2023",4,NA,-1.42195566969168,-0.219579288257014,0.490625311385291
"326072_NW",326072,"NW","South Coastal Region",49.05235,-122.58989,NA,0,25,0.2059313468,0.7537491515,0.2059313468,14.99310572,9,33,"2016,2017,2018,2019,2020,2021,2022,2023,2024",4,NA,-0.299763627664732,0.170556594614283,1.29027280138528
"326072_SE",326072,"SE","South Coastal Region",49.0144,-122.52755,NA,0,25,0.1667329338,0.5222292712,0.1667329338,15.98553469,7,26,"2016,2017,2018,2019,2020,2021,2022",4,NA,-0.299763627664732,0.0470108354669186,1.4008356247202
"326072_SW",326072,"SW","South Coastal Region",49.01082,-122.58104,NA,0,50,0.03968325479,0.5616583084,0.03968325479,18.17697304,9,34,"2016,2017,2018,2019,2020,2021,2022,2023,2024",4,NA,0.822428414362214,-0.353424994491795,1.64497562714316
"37274_NE",37274,"NE","Northern Region",53.088742,-119.203183,NA,1,25,0.3095826599,1.995681747,1.983003069,9.229996395,6,19,"2018,2019,2020,2021,2022,2024",2,NA,-0.299763627664732,0.497245334884473,0.648226209214772
"37274_SE",37274,"SE","Northern Region",53.050514,-119.214184,NA,1,75,0.003348522418,0.003348522418,0.01512497919,5.064257729,6,18,"2018,2019,2020,2021,2022,2024",2,NA,1.94462045638916,-0.467944990347623,0.184136745776001
"37274_SW",37274,"SW","Northern Region",53.035636,-119.228949,NA,0,0,0.04551184872,0.1051185234,0.04551184872,3.132808028,6,19,"2018,2019,2020,2021,2022,2024",2,NA,-1.42195566969168,-0.335054402247574,-0.0310388874705193
